Article_Name,Article_Link,Article_Text
Changing your Carleton Password: Quick Start Guide,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140066,"If you do not remember your current Carleton username or password and have not setup password recovery options (link opens in new tab) Check the saved passwords in your browser: See this page (link opens in a new tab) for how to do this if you are unsure Alumni: please contact Alumni Relations at alumni-office@carleton.edu or 800-729-2586 to change your password Everyone else: please call the ITS Helpdesk at 507-222- 5999 Before Changing Your Password Set aside some time (about 30 minutes) Record your old password in case of future need and prepare to record your new password, preferably in a secure password manager Gather all of your electronic devices that may connect to Carleton's systems (via eduroam, Zulu, or anything else that remembers your password and logs you in automatically much of the time) Change Your Password Select the instructions that best fit your current circumstances: Students Students on campus Students off campus New Students Faculty & Staff Faculty & Staff on campus Faculty & Staff off campus Retirees Retirees with Carleton-issued computers Retirees with no Carleton-issued computers Alumni Alumni Vendors and Guests with Carleton accounts Vendors and Guests with Carleton Accounts Need Help? Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999"
Changing your Carleton Password: Alumni,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=146214,"If you do not remember your current Carleton password and have not setup password recovery options (link opens in new tab) : contact Alumni Relations at alumni-office@carleton.edu or 800-729-2586 to change your password Change Your Password Change your password (link opens in a new tab) NOTE: If are using Firefox or Safari and you reach a blank screen when using the link above, please open a Private Browsing Window or use Google Chrome to change your password After Changing Your Password Test your new password: Open a private browsing window or a new browser and log into the Alumni Directory If you have not done so already, set up your recovery options (link opens in new tab) You're done! What to Expect after You Change Your Password It may take time for site sessions to expire and request reauthentication. For example, Gmail may continue to log in automatically for some time before prompting you to enter your new password. If you have had your computer or browsers remember your passwords, you will need to enter your new password the first time you visit Carleton websites and systems rather than using the remembered password. Need Help? Please contact the Alumni Relations at alumni-office@carleton.edu or 800-729-2586"
Changing your Carleton Password: Emeriti Faculty with Carleton-Issued Computers,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140731,"If you do not remember your current Carleton password and have not setup password recovery options (link opens in new tab) : please call the ITS Helpdesk at 507-222- 5999 so that we can work with you to reset your password. Before Changing Your Password Set aside some time (about 30 minutes) Record your old password in case of future need and prepare to record your new password, preferably in a secure password manager . Change Your Password If you can do this while on campus and connected to the wired (Ethernet) campus network, follow the instructions for Faculty & Staff On Campus If you do not have a campus office or rarely come to campus, follow the instructions for Faculty & Staff Off Campus Need Help? Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999"
Changing your Carleton Password: Faculty & Staff Off Campus,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140730,"If you do not remember your current Carleton password and have not setup password recovery options (link opens in new tab) : please call the ITS Helpdesk at 507-222- 5999 so that we can work with you to reset your password. Before Changing Your Password Set aside some time (about 30 minutes) Record your old password in case of future need, and prepare to record your new password, preferably in a secure password manager Change Your Password Gather all of your electronic devices that may connect to Carleton's systems (via eduroam, Zulu, or anything else that remembers your password and logs you in automatically much of the time) If you use the Zulu Softphone, fully log out of that application For any device that allows this while you're off campus, ""Forget"" or ""Remove"" the eduroam WiFi network now Connect your computer to a wired Ethernet Internet connection if possible, though WiFi is fine if needed Change your password (link opens in a new tab) NOTE: If you are using Firefox or Safari and you reach a blank screen when using the link above, please open a Private Browsing Window or use Google Chrome to change your password After Changing Your Password Test your new password: Open a private browsing window and log into https://moodle.carleton.edu Update Zulu Log into Zulu using [your username]@carlpbx.its.carleton.edu as your username and your new Carleton password as your Zulu password. (You will need to be connected to the VPN.) Update eduroam on all your devices For iOS devices (iPhone, iPad, etc) For Apple Watches For Android devices For Apple computers For Windows computers For ChromeOS For Linux Wait 15 minutes Update your Carleton-owned computer's password macOS: Reconnecting Your Computer to Your Carleton Password Windows: Reconnecting Your Computer to Your Carleton Password If you use a Carleton-owned Mac computer, your Keychain will likely ask you to log in with your old password in order to update to the new password You're done! What to Expect after You Change Your Password Your passwords to log into mobile devices and personally owned computers will not change. It may take time for site sessions to expire and request reauthentication. For example, Gmail may continue to log in automatically for some time before prompting you to enter your new password. If you have had your computer or browsers remember your passwords, you will need to enter your new password the first time you visit Carleton websites and systems rather than using the remembered password. On Windows computers, your regular Carleton password is not the same as your Bitlocker PIN or your .\admin account password. Those will remain unchanged unless you specifically change them. On Mac computers, your Keychain will need you to log in with your old password before you can update it to your new password. If you manage a Wordpress or Omeka site or site collection (cpanel) through Carleton: If you access your site collection (cpanel), log into sites.carleton.edu using the new password you created for your Carleton account (Single-Sign-On or SSO). If you log in to sites not tied to Carleton, like Wordpress or Omeka, you will continue to use the same password you used before (most likely different from the password you use anywhere else at Carleton). Need Help? Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999"
Changing your Carleton Password: Faculty & Staff On Campus,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140729,"If you do not remember your current Carleton password and have not setup password recovery options (link opens in new tab) : please call the ITS Helpdesk at 507-222- 5999 so that we can work with you to reset your password. Before Changing Your Password Set aside some time (about 30 minutes) Record your old password in case of future need and prepare to record your new password, preferably in a secure password manager Change Your Password Make sure that your Carleton-issued computer is connected to the wired Ethernet network (if this is impossible, please refer to the instructions for Faculty & Staff Off Campus ) If you use the Zulu Softphone, fully log out of that application For all your computers and wireless devices, ""Forget"" or ""Remove"" the eduroam WiFi network now Turn off the WiFi on your Carleton-issued computer(s) so that they are forced to use the wired Ethernet network Turn off the WiFi on macOS: Go to the Apple Menu > System Preferences (macOS 11-12 ) or System Settings (macOS 13-14) > Network > Wi-Fi > Turn Wi-Fi Off Turn off the WiFi on Windows: Go to the Start Menu > Settings > Network & Internet > Wi-Fi > Toggle Wi-Fi Off Change your password (link opens in a new tab) NOTE: If you are using Firefox or Safari and you reach a blank screen when using the link above, please open a Private Browsing Window or use Google Chrome to change your password After Changing Your Password Test your new password: Open a private browsing window and log into https://moodle.carleton.edu Update Eduroam on all wireless devices For iOS devices (iPhone, iPad, etc) For Apple Watches For Android devices For Apple computers For Windows computers For ChromeOS For Linux Update the Zulu Softphone (if you use it) Log into Zulu using [your username]@carlpbx.its.carleton.edu as your username and your new Carleton password as your Zulu password. (You will need to be connected to the VPN.) Wait at least 15 minutes and then restart your Carleton-owned computer (you can do other things on your computer during this time) Log into your Carleton-owned computer using your new password (passwords on personal computers will remain unchanged) If you use a Mac computer, your Keychain will likely ask you to log in with your old password in order to update to the new password You're done! What to Expect after You Change Your Password Your passwords to log into mobile devices and personally owned computers will not change. It may take time for site sessions to expire and request reauthentication. For example, Gmail may continue to log in automatically for some time before prompting you to enter your new password. If you have had your computer or browsers remember your passwords, you will need to enter your new password the first time you visit Carleton websites and systems rather than using the remembered password. On Windows computers, your regular Carleton password is not the same as your Bitlocker PIN or your .\admin account password. Those will remain unchanged unless you specifically change them. On Mac computers, your Keychain will need you to log in with your old password before you can update it to your new password. If you manage a Wordpress or Omeka site or site collection (cpanel) through Carleton: If you access your site collection (cpanel), log into sites.carleton.edu using the new password you created for your Carleton account (Single-Sign-On or SSO). If you log in to sites not tied to Carleton, like Wordpress or Omeka, you will continue to use the same password you used before (most likely different from the password you use anywhere else at Carleton). Need Help? Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999"
Changing your Carleton Password: New Students,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=144165,"If you are on campus, see instructions for Students On Campus (link opens in a new tab) . Before Changing Your Password Set aside some time (about 15 minutes) Record your old password in case of future need and prepare to record your new password, preferably in a secure password manager If you are a new student who does not have a OneCard and need the Helpdesk to help reset your password, you will need to have the original temporary password from the Technology at Carleton mailing. Change Your Password Change your password here (link opens in a new tab) NOTE: If are using Firefox or Safari and you reach a blank screen when using the link above, please open a Private Browsing Window or use Google Chrome to change your password After Changing Your Password Make sure to test your new password: Open a private browsing window and log into password.carleton.edu What to Expect after You Change Your Password It may take time for site sessions to expire and request reauthentication. For example, Gmail may continue to log in automatically for some time before prompting you to enter your new password. If you have had your computer or browsers remember your passwords, you will need to enter your new password the first time you visit Carleton websites and systems rather than using the remembered password. Need Help? Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999"
"Changing your Carleton Password: Retirees with No Carleton-Issued Computers, Vendors & Guests with Carleton accounts",https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140732,"If you do not remember your current Carleton password and have not setup password recovery options (link opens in new tab) : please call the ITS Helpdesk at 507-222- 5999 so that we can work with you to reset your password. Before Changing Your Password Set aside some time (about 15 minutes) Record your old password in case of future need and prepare to record your new password, preferably in a secure password manager . Change Your Password Gather all of your electronic devices that may connect to Carleton's eduroam WiFi network Change your password (link opens in a new tab) NOTE: If are using Firefox or Safari and you reach a blank screen when using the link above, please open a Private Browsing Window or use Google Chrome to change your password After Changing Your Password Test your new password: Open a private browsing window or a new browser go to password.carleton.edu , then click Change Your Password and log in. If it lets you log in, your password has been changed! Update eduroam on all electronic devices that may connect to Carleton's WiFi in the future For iOS devices For Android devices For Apple computers For Windows computers For ChromeOS For Linux You're done! What to Expect after You Change Your Password It may take time for site sessions to expire and request reauthentication. For example, Gmail may continue to log in automatically for some time before prompting you to enter your new password. If you have had your computer or browsers remember your passwords, you will need to enter your new password the first time you visit Carleton websites and systems rather than using the remembered password. If you manage a Wordpress or Omeka site or site collection (cpanel) through Carleton: If you access your site collection (cpanel), log into sites.carleton.edu using the new password you created for your Carleton account (Single-Sign-On or SSO). If you log in to sites not tied to Carleton, like Wordpress or Omeka, you will continue to use the same password you used before (most likely different from the password you use anywhere else at Carleton). Need Help? Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999"
Changing your Carleton Password: Students Off Campus,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140725,"If you are on an OCS trip, living in Northfield rather than in campus housing, or simply happen to be off campus when you need to change your password, these instructions are for you! If you do not remember your current Carleton password and have not setup password recovery options (link opens in new tab) : please call the ITS Helpdesk at 507-222- 5999 so that we can work with you to reset your password. Before Changing Your Password Set aside some time (about 15 minutes) Record your old password in case of future need and prepare to record your new password, preferably in a secure password manager Change Your Password Gather all of your electronic devices that may connect to eduroam For any device that allows this while you're off campus, ""Forget"" or ""Remove"" the eduroam WiFi network now Change your password (link opens in a new tab) NOTE: If are using Firefox or Safari and you reach a blank screen when using the link above, please open a Private Browsing Window or use Google Chrome to change your password After Changing Your Password Test your new password: Open a private browsing window and log into https://moodle.carleton.edu Update eduroam on all your devices For iOS devices (iPhone, iPad, etc) For Apple Watches For Android devices For Apple computers For Windows computers For ChromeOS For Linux You're done! What to Expect after You Change Your Password It may take time for site sessions to expire and request re-authentication. For example, Gmail may continue to log in automatically for some time before prompting you to enter your new password. If you have had your computer or browsers remember your passwords, you will need to enter your new password the first time you visit Carleton websites and systems rather than using the remembered password. If you manage a Wordpress or Omeka site or site collection (cpanel) through Carleton: If you access your site collection (cpanel), log into sites.carleton.edu using the new password you created for your Carleton account (Single-Sign-On or SSO). If you log in to sites not tied to Carleton, like Wordpress or Omeka, you will continue to use the same password you used before (most likely different from the password you use anywhere else at Carleton). Need Help? Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999"
Changing your Carleton Password: Students On Campus,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140724,"If you do not remember your current Carleton password and have not setup password recovery options (link opens in new tab) : please call the ITS Helpdesk at 507-222- 5999 so that we can work with you to reset your password. Before Changing Your Password Set aside some time (about 15 minutes) Record your old password in case of future need and prepare to record your new password, preferably in a secure password manager Change Your Password Gather all of your electronic devices that may connect to eduroam Select the device you'll use while changing your password If you're connected the the wired Ethernet Network, continue to Step 3 If you're connected to Eduroam, switch to CarletonGuests For all your other wireless devices, ""Forget"" or ""Remove"" the eduroam WiFi network now Change your password (link opens in a new tab) NOTE: If are using Firefox or Safari and you reach a blank screen when using the link above, please open a Private Browsing Window or use Google Chrome to change your password After Changing Your Password Test your new password: Open a private browsing window and log into https://moodle.carleton.edu Update eduroam on all your devices For iOS devices (iPhone, iPad, etc) For Apple Watches For Android devices For Apple computers For Windows computers For ChromeOS For Linux You're done! What to Expect after You Change Your Password It may take time for site sessions to expire and request re-authentication. For example, Gmail may continue to log in automatically for some time before prompting you to enter your new password. If you have had your computer or browsers remember your passwords, you will need to enter your new password the first time you visit Carleton websites and systems rather than using the remembered password. If you manage a Wordpress or Omeka site or site collection (cpanel) through Carleton: If you access your site collection (cpanel), log into sites.carleton.edu using the new password you created for your Carleton account (Single-Sign-On or SSO). If you log in to sites not tied to Carleton, like Wordpress or Omeka, you will continue to use the same password you used before (most likely different from the password you use anywhere else at Carleton). Need Help? Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999"
macOS: Resyncing Your Computer to Your Carleton Password after a password change,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140734,"The easiest method if you're on campus is to connect your computer to the wired (ethenet) campus network. If that's not feasible, follow the instructions below. For Carleton-owned computers of macOS version 13 or higher: Connect to Carleton's GlobalProtect VPN Click on the Apple menu Click on System Settings Select KeyAccess Click the Lock Icon Unlock using your current Carleton username and password (if you just changed your password, use your new password) Restart your computer Log in again with your Carleton username and password For Carleton-owned computers of macOS version 12 or lower: Connect to Carleton's GlobalProtect VPN Click on the Apple menu Click on System Preferences Select Users & Groups (or anything else with locked preferences) Click the Lock Icon Unlock using your current Carleton username and password (if you just changed your password, use your new password) Restart your computer Log in again with your Carleton username and password"
Windows: Resyncing Your Computer's Password from Off Campus after a Password Change,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140735,"The easiest method is to connect your computer to the wired (ethernet) network at Carleton. If that's not feasible, follow the instructions below. For Carleton-owned computers ONLY: Log out of your computer Log in using your .\admin account Connect to Carleton's GlobalProtect VPN Search your computer for Command Prompt but do not open it Select Pin to taskbar Hold down the Shift key while right-clicking on the Command Prompt icon in your taskbar ​​​​ Select Run as Different User Log in with your current Carleton username and password (if you just changed your password, use your new password) Restart your computer Log in with your current Carleton username and password Once the Command Prompt program opens, you are done!"
After Changing Your Carleton Password,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140817,"There are still some things to do! Select the instructions that best fit your current circumstances: Students Students on campus Students off campus Faculty & Staff Faculty & Staff on campus Faculty & Staff off campus Retirees Retirees with Carleton-issued computers Retirees on campus Retirees off campus Retirees with no Carleton-issued computers Alumni You're all done! Alumni, Outside Vendors, and Community Based Work Study Supervisors If you use Carleton's Eduroam WiFi network If you don't use Carleton's Eduroam WiFi network, you're done! Need Help? Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999"
Archiving or Transferring Email,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=143859,"Class of '23 Deadline :  End of July After July, messages in your Carleton mailbox vanish and are non-recoverable; mail sent to your address will be returned to the sender. While it is tempting to simply move all of your email from your Carleton Gmail account to, for example, your personal Gmail account, we suggest that you consider archiving your Carleton email instead. One of the main reasons for this is that there is no elegant method for transferring email between two different systems. The methods below will work, though they will not transfer the labels that you have created in your Carleton account. Archiving email has the advantage that you are simply downloading and storing the email for future reference, in case you need to refer back to it in the future. It helps to keep your old Carleton email separate from your current (or new) email, in a searchable location for those times that you need to refer back to it. Transfer Options Transferring Carleton email to a Personal Gmail account Transferring Carleton email to Outlook Archiving Options Archiving with Apple Mail Archiving with MailStore"
Email: Archiving your email using Apple Mail,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=143869,"Prepare to Archive Set up Apple Mail to access your Carleton gmail account: Click on the Apple menu and select System Preferences (macOS 11-12 ) or System Settings (macOS 13-14) Open Internet Accounts Select Google Enter your full Carleton email address and click Next Sign into your Carleton account as usual Select the apps you'd like to use with your Carleton account and click Done Archiving your Mail Wait for all of your email to sync to Apple Mail after configuring it in the steps above Right click on the Carleton mail box and choose the option to Export Mailbox When prompted to choose a destination folder , select your preferred folder (for example Documents), and then click Choose"
Email: Archiving your email using MailStore,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=143879,"Carleton has no affiliation with the MailStore company or product. We do, however, consider it a possible option for archiving your Carleton email account when you leave campus. We have provided documentation here simply as a reference and these instructions are specific to your Carleton account. Download and Install Download the free MailStore Home software from the product's web page Before Archiving Before you begin the process of archiving your account: Ensure that you have a good internet connection : stable and fast are better Ensure that you can leave your computer on and running for several hours Configuring MailStore The following instructions will guide you through configuring MailStore Home for use in archiving your Carleton College email account. Open the MailStore Home application Click on the Archive E-mail link under the Quick Access menu Enter your Carleton email address under E-mail Account heading Click on the Advanced dropdown menu and select Gmail When prompted, enter your Carleton email address then click Authorize A new browser window or tab will open prompting you to allow Mailstore to access your Gmail account Note: If you are logged in to both your Carleton and personal Gmail accounts, you will need to select your Carleton account before seeing this page. Click on the Allow button to grant access Switch back to the MailStore Home application, where there should now be a message that says Application is authorized Click on the Test button to ensure that Mailstore can access your account. If all is well, you should receive the message Connection successfully established You will now have the option to specify a date range – if you want to archive your entire account, don't make any changes You will now get a message confirming that a new profile has been created with your Carleton account name You have now configured MailStore to access and archive your Carleton account, but it has not yet begun archiving. Begin Archiving Open the MailStore Home application Click Archive E-mail on the left hand side Double-click your Carleton account profile name The archiving process will now begin."
Email: Granting Delegate Access to Your Email Account,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=152259,"On occasion, people want others to be able to read, compose, send, and delete email on their behalf. This is most common for high-level college administrators who wish their assistants to be able to manage their email. NOTE: This will grant your chosen delegate access to all your email, including the ability to read, send, and delete messages on your behalf. How to Add a Delegate to your Email Account Please follow Google's instructions for adding a delegate to your email"
Email: Mail Merge,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=150190,"Carleton has licensed a general-purpose email merge program called Mail Merge With Attachments for Gmail for college use. This product is an Add-on for Google Sheets, and allows you to create a spreadsheet that it will then use as the recipients list/database to perform the mail merge. If you need a license to this tool, please submit a Software Request ticket . Setting up the Gmail/Google Sheets Add-on In your browser, go drive.carleton.edu and log in with your Carleton username and password Open a new Google Sheet (click the + New button and select Google Sheets ) In the Extensions menu, select Add-ons and then Get Add-ons Search for Mail Merge with Attachments and select it Click the large blue Install button Click Continue to consent to the install (be sure to select your @carleton.edu account) You'll see a list of the various permissions that Mail Merge needs to be granted in order to do its work. It's a long list, and you should review them. You may need to scroll down to find and click on the Allow button to continue. Note : if anything on this list makes you uncomfortable, you might choose an entirely Google-based approach . Once the installation is completed, in the Google Sheet, click on the Extensions menu Click on Mail Merge with Attachments and select Restore License The Activate Premium License dialog will open, and you will need to enter Carleton's license key. Click here to view Carleton's license key . Click the Activate button When you see the message License Activated. Please reload the sheet! , click on the reload button in your browser window Now, return to the Mail Merge with Attachments option under Extensions menu; you should see that all the options for performing your mail merge are now available. Note : Once activated with Carleton's premium license key, you may use the Mail Merge add-on to send any number of messages up to Google's own limit (currently 1,500 total messages per day)."
Email: Setting an auto-reply in Gmail,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=143853,"Whether you're on vacation, leave, or planning to leave Carleton, you can set up an auto-reply in Gmail. Here are instructions from Google on how to set an auto-reply"
Email: Setting your Browser to be your Default Email Program,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=155059,"If you click on a linked email address online, your computer will attempt to open your default email program and put that email address into the ""To"" line. If you use Gmail in your browser as your default email program, here's how to set things up so that those email links open in a Gmail composing screen. 1) Set your Browser to be your Default Email Application Windows In your Start menu, search for Default Apps In the Email section of the Default Apps settings page, select your preferred browser (Chrome, Firefox, Edge, etc) Mac Follow Apple's instructions (link opens in a new window) and select your preferred browser (Chrome, Firefox, Edge, etc) 2) Set your Browser to default to Gmail Chrome (click to show/hide): In Chrome, click on the 3-dot menu at the top right of your screen and select Settings Select the Privacy and Security section Click Site Settings Click on Additional permissions Click on Protocol Handlers Select Sites can ask to handle protocols (if mail.com appears on the list, make sure it's not blocked) Open gmail.carleton.edu in Chrome In the address bar, click the double-diamond Service Handler icon When prompted to Allow mail.google.com to open all email links? , select Allow and then Done . Firefox (click to show/hide): In Firefox open the 3-bar ""Hamburger"" menu at the top right of your screen and select Settings Search the preferences box for mail Beside the mailto option, click the Action column and select Gmail Safari (click to show/hide): Unfortunately Safari doesn't offer a way to make this automatic. The best course of action is: Right-click on the email address and select Copy Email Address Open Gmail and paste the email address into the To: line of a new message Edge (click to show/hide): In Edge, open the 3-dot menu at the top right of your screen and select Settings In the left-hand Settings menu, select Cookies and site permissions Select Protocol handlers Ensure that the option to Allow sites to ask to become default handlers for protocols is turn ON Open gmail.carleton.edu in Edge In the address bar, click the double-diamond Service Handler icon When prompted to Allow mail.google.com to open all email links? , select Allow and then Done . Need Help? Please contact the ITS Helpdesk for assistance: go.carleton.edu/helpdesk or 507-222-5999"
Email: Sort and Evaluate Email by File Size,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=148201,Check your Google Drive storage by visiting https://drive.google.com/ settings/storage Here's a short video with more information:
"Email: Sort Email by Sender, Subject, and More",https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=148202,
Email: Transferring Carleton email to a personal Gmail account,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=143858,"Moving email between accounts is never a straightforward process, not even when moving between Google accounts. NOTE: This process can take days or even weeks depending on the size of your email account. Prepare your Personal Account Check how much storage space your Carleton email account takes. If you scroll down to the very bottom of your inbox it'll say "" Using "" and then a number of MG (Megabytes) or GB (Gigabytes) Check your storage limit on your Personal account and make sure that there is enough space left to accommodate the amount of email stored in your Carleton account. Purchase additional storage if necessary Start your Transfer Go to takeout.google.com/transfer and log in with your Carleton account Enter your Personal account information and work through the steps that Google presents for beginning your transfer Manual Method (if needed) We recommend that you start with the Google Takeout Transfer method, which is simpler and faster. However, if you run into issues with that tool, here's how to manage your transfer manually. Create an App Specific Password for your Carleton gmail account Manually transfer your mail using POP3 Carleton Username: your full Carleton email address Carleton Password: use the App-specific password you created in Step 1 POP Server: pop.gmail.com Port: 995 Deselect ""leave a copy of retrieved message on the server"" Select ""always use a secure connection (SSL) when retrieving mail"" Select ""Label incoming messages"" with the default label Deselect ""archive incoming messages (Skip the inbox)"" Transfer will begin within 5-10 minutes Note that this method is limited by Google's bandwidth policies and will transfer approximately 38,000 messages per day."
Email: Transferring very large email accounts,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=144518,"Google offers a Transfer tool that works well for most people and most email accounts. However, sometimes that tool fails, and it seems that it may fail if confronted with very large email accounts (e.g. 100GB of storage). In cases like this, you will have to rely on the options below. Transfer messages and attachments while preserving folders/labels This will be an almost entirely manual process and will have to happen slowly so as not to exceed Google's bandwidth limits (which will lock the Google account). 1) Prepare your Accounts Check how much storage space your Carleton email account takes. If you scroll down to the very bottom of your inbox it'll say "" Using "" and then a number of MG (Megabytes) or GB (Gigabytes) Check your storage limit on your Personal account and make sure that there is enough space left to accommodate the amount of email stored in your Carleton account. Purchase additional storage if necessary Turn IMAP on for BOTH of your gmail accounts Install the Thunderbird email application 2) Connect Thunderbird to both of your gmail accounts IMPORTANT : Pay attention to the options when you connect each account so that you only download the most recent messages from your very large account. Otherwise you may end up using up all the storage space on your computer, which can result in an unusable computer. In the Thunderbird application, go to the File menu and select New > Existing Mail Account Enter your name, full email address, and password, and click Continue Keep the default IMAP option (don't switch to POP3) and click Done A new window will pop up so that you can fully log into your account and allow access for Thunderbird When you get to the screen in Thunderbird that says that your account has been successfully created, click on Account Settings Click on Synchronization & Storage Under Disk Space , select the option to synchronize the most recent 30 days (you can probably increase this to 90 days, but this setting will save your computer from being overwhelmed by email messages) Repeat these steps for your other gmail account NOTE : If you have a downloaded .MBOX file of your Carleton email, you can connect that to Thunderbird instead of connecting to your live email account (instructions coming soon). Messages can be moved over to your new account in exactly the same way regardless of how you access your Carleton email. 3) Transfer messages folder by folder This is the very manual part. You will have to repeat this process for each folder/label from your Carleton account. In Thunderbird, right click on the gmail address of your destination account and select New Folder Create a new folder with the same name as one of the folders in your Carleton email account In your Carleton account within Thunderbird, select the messages from the folder in your Carleton account that you've just recreated in your new account (select up to about 5,000 messages at a time unless you have a lot of attachments, in which case select fewer) Drag the email messages into the new folder in your destination gmail account within Thunderbird Repeat the process of selecting messages from your Carleton account and dragging them to the recreated folder in your destination account until you have emptied the Carleton folder into the destination folder Repeat these steps for every folder you want to preserve/recreate in your destination account NOTE : You can only move 500MB of messages per day, and if you go over that limit Google will lock your accounts for 24 hours. There is very little way to know exactly how many MB you have moved, so a good rule of thumb for a normal inbox is to move about 20,000 messages in a day but no more. 4) Transfer remaining messages after folders are moved Once all the messages in folders have been transferred, you can move on to a more automated method that can also move more messages per day. Use the ""Manual"" method listed here to set up a POP3 transfer from your Carleton account to a destination account . This will move approximately 1250MB per day, or about 38,000 messages per day depending on the number and size of the attachments on your messages. Transfer messages and attachments only (no labels) Use the ""Manual"" method listed here to set up a POP3 transfer from your Carleton account to a destination account . This will move approximately 1250MB per day, or about 38,000 messages per day depending on the number and size of the attachments on your messages."
Google Calendar: Import .ics files (especially from Workday Learning),https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=148899,"Many scheduling systems allow you to ""add an event to your calendar"" but don't integrate with specific calendars (like Google Calendar). They instead download a file to your computer that has the event title and then .ics at the end. Google provides instructions on how to import .ics files into your Calendar (link opens in a new window) Workday Learning is the campus training platform, and if you click the Add to Calendar button it will download an .ics file. You can upload this according to Google's instructions in order for the event to appear on your calendar."
Google Groups: Adding a group to another group (nested groups),https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=154295,"Before doing this, think carefully! If people try to unsubscribe from a group that they were added to by virtue of being in another group, they will accidentally unsubscribe themselves from that nested group. This could cause problems for them if the nested group is important to their work! Nesting Google Groups Go to Google Groups in a web browser and, if prompted, sign in to your account Click on the My groups button Click on the group you want to add another group to Select Manage Members Click on Invite Members Add the email address of the group you wish to nest within this group Again, be very careful with this method of nesting groups. See the warning above."
